# word	freq	suggestion
اعمال)	1	أعمال
46	1	ب
دايرة	1	دائرة
الحالى	1	الحال
الرابع.البيرت	1
بالحزب	1	الحزب
بتاعتها	1	بتاعتي
وموريس	1	موريس
ايام،	1	أيام
Vindobonensis	1
الامبراطور	1	الإمبراطور
Alma	1
للحقوق	1	لحقوق
هشام	1	هش ام
الاول)	1	ألاول
ويومين،	1	وايومينج
والاجتماعية،	1	الأجتماعية
انجلترا.	1	إنجلترا
مصرى،	1	مصر
الرومانى	1	الرومان
واتوفى	1	وا توفى
